ENSG	ncbi_geneid	gene	ON_score	PD_log2fc1 (PMID:37347276)	PD_log2fc2 (PMID: 27611585)	PD_log2fc3 (PMID: 33390883)	TWAS	availability_association	Evidence	PD_score	gene2pubmed_score	PMIDs_PD	PMIDs_NCBI
ENSG00000104722	4741	NEFM	-26	NotFound	NotFound	-1.1559	NotFound	yes	"OpenTargets,PubChem"	11	83	"32178731, 19948073, 34943913, 27034888, 28634551, 14583397, 18404452, 20388119, 17401155, 1716646, 29370869"	"1348579, 1537832, 2450354, 2557834, 3608989, 7790359, 7829101, 8344946, 8620924, 8702840, 10762698, 11563628, 12122054, 12133495, 12477932, 12963086, 14583397, 14662745, 15032605, 15290901, 15342556, 15822905, 16006557, 16084104, 16734940, 17043677, 17498690, 18029348, 19034380, 20195357, 20201926, 20213320, 20381070, 20471030, 20562859, 20624930, 21565611, 21816823, 21828286, 21873635, 21956116, 22020285, 22586326, 24244333, 24489003, 24636402, 24984263, 25609649, 25959826, 25963833, 26186194, 26460568, 26496610, 27173435, 28225217, 28514442, 28584012, 28634551, 29128334, 29212245, 29615496, 30021884, 30029677, 30258100, 31180492, 31586073, 32296183, 32450002, 33961781, 34001208, 34079125, 34244482, 34662580, 34709266, 34728620, 35013218, 35271311, 35446349, 35914814, 36200879, 36634849, 36898370, 37616343"
ENSG00000204361	120406	NXPE2	21	NotFound	-1.941434257	NotFound	NotFound	no	-	0	4	-	"12477932, 24550280, 32296183, 33961781"
ENSG00000137857	53905	DUOX1	-21	0.470122867	NotFound	NotFound	NotFound	yes	PubChem	12	82	"24277523, 21936877, 26394281, 20123724, 25716193, 20888078, 30513656, 30413118, 22986582, 33515429, 22189567, 31121284"	"8889548, 10601291, 10806195, 11443211, 11514595, 11753072, 11762710, 11822874, 12477932, 12482831, 12824283, 14702039, 15062544, 15210697, 15489334, 15561711, 15640347, 15677770, 15972824, 16111680, 16478776, 16608528, 17135261, 17337509, 18177232, 18281478, 18606821, 19144650, 19339556, 19460756, 19730683, 19952225, 20056178, 20085766, 20346360, 20682913, 20709024, 21389273, 21411736, 21873635, 21915726, 22523549, 22814254, 23225414, 23281318, 23349873, 23362256, 23691121, 24128054, 24161126, 24164541, 24332816, 24624333, 25164816, 25586178, 25848056, 26597162, 27079415, 27108801, 27110716, 27197753, 27262981, 28633507, 28982074, 29405261, 29849884, 30021884, 30375286, 30575818, 31706280, 32393512, 32513696, 32764116, 33301419, 33309621, 33420071, 33563887, 33961781, 34784249, 36625485, 36835420, 37536262"
ENSG00000228789	285834	HCG22	-21	NotFound	-1.781109162	NotFound	NotFound	no	-	0	14	-	"14702039, 19851445, 20981447, 21051598, 21738480, 22493691, 23001997, 23263863, 25429064, 25813999, 28005267, 31236983, 33649984, 34859625"
ENSG00000158352	57477	SHROOM4	23	0.537422041	NotFound	NotFound	NotFound	yes	OpenTargets	1	15	ppr393667	"10574462, 10737800, 12477932, 12673656, 14702039, 16249884, 16615870, 16684770, 18029348, 21873635, 26354767, 28262662, 30349055, 32513696, 36379543"
ENSG00000006128	6863	TAC1	-33	NotFound	-1.633089015	-1.3407	NotFound	yes	"OpenTargets,PubChem"	151	228	"20582283, 7509607, 7504224, 34653503, 7969897, 7477878, 8577402, 26604896, 2475450, 1691042, 1718530, 1699767, 10473249, 1382801, 10619467, 8673494, 1320947, 2578185, 28101005, 8902728, 6203617, 26909067, 18937118, 22550057, 30050383, 2934745, 18054402, 8241606, 25209287, 10422881, 6189657, 10023114, 25897205, 11452234, 7510109, 18021294, 2471578, 34337829, 1281532, 1436519, 1711165, 17573046, 23232501, 10974427, 33571110, 9822743, 16449797, 10908627, 24969128, 12871824, 19656174, 28168579, 21923954, 12077209, 32540418, 32741046, 2455042, 14748558, 2435563, 8096426, 9135089, 9721905, 25838118, 34623702, 7534717, 7539897, 22370902, 24788821, 31740757, 15350159, 10762340, 2821331, 16180225, 16324110, 10078618, 10101607, 26001615, 11168568, 20383714, 21907219, 18053647, 1870724, 2053466, 15610165, 12390523, 19635563, 15380489, 21737418, 17433807, 6333003, 10740093, 31778724, 14663005, 7525868, 9270071, 16988796, 1694418, 1700582, 17329435, 2893993, 12732251, 18423776, 1374545, 2413707, 2417654, 2428937, 2431225, 1927057, 19549545, 32728898, 27295950, 1708113, 1708406, 1716907, 12614325, 2468106, 2468498, 7680065, 7684071, 7690371, 7735167, 20599590, 20660274, 10969718, 3359274, 26497672, 2147780, 35562956, 28424060, 14568025, 6150750, 22485158, 6099688, 7538646, 1972319, 12970031, 2456487, 9654379, 2440513, 33206341, 12360537, 15011953, 15016424, 1385171, 20030188, 19173266, 8921265, 6150545, 1724684, 1972853, 35418178"	"1312203, 1708336, 2284201, 3038549, 3770210, 7692486, 7961636, 8125298, 8702757, 8957234, 9272936, 9482938, 9548509, 9655475, 9846828, 9847074, 10189055, 10491292, 11104584, 11113362, 11160316, 11278902, 11342427, 11591789, 11786503, 11919172, 11921119, 11950831, 12074933, 12382579, 12383866, 12477932, 12486316, 12528114, 12548712, 12578734, 12603817, 12686752, 12690205, 12705477, 12752772, 12854086, 12871824, 14532289, 14564346, 14589248, 14703707, 14749007, 15130944, 15358539, 15489334, 15544859, 15690122, 15729363, 15761654, 15899028, 16169070, 16503654, 16754659, 16816831, 16877367, 16952549, 17087112, 17175032, 17257983, 17264209, 17370082, 17376622, 17409218, 17448763, 17450584, 17494790, 17588657, 17655760, 17667845, 17703412, 17709376, 17855557, 17940602, 17949241, 17975140, 18061399, 18179473, 18197882, 18211417, 18289674, 18316470, 18363037, 18507649, 18577758, 18599605, 18603306, 18615578, 18941231, 18990442, 19036058, 19046942, 19086053, 19200949, 19207952, 19246391, 19258923, 19279355, 19381016, 19598235, 19685709, 19695094, 19812951, 19855234, 19874574, 19885583, 19909213, 19913121, 20029189, 20160043, 20173430, 20207019, 20237496, 20347265, 20405330, 20417061, 20468064, 20497485, 20503287, 20526012, 20529207, 20580442, 20628086, 20692311, 20861424, 20940324, 21076839, 21091716, 21107196, 21160161, 21167238, 21368235, 21375557, 21550738, 21671725, 21873635, 21900206, 21926539, 22020760, 22057425, 22115773, 22189180, 22354721, 22392530, 22429353, 22449753, 22572771, 22681041, 22733436, 22836729, 22906243, 22961239, 23257919, 23345604, 23420374, 23597562, 23719583, 23737731, 23827863, 23862763, 23873242, 23977290, 23995243, 24010162, 24084156, 24286592, 24374326, 24486589, 24563019, 24577568, 24603459, 24660773, 24844859, 24908181, 24969128, 25135735, 25690155, 25750171, 25783846, 26038607, 26349209, 26852662, 27027429, 27146034, 27456549, 27501920, 27908224, 28192115, 28423013, 28460633, 28500728, 28521029, 28554099, 28714876, 28817088, 29412499, 29478144, 29745819, 29939909, 30021884, 30232261, 30485833, 30684188, 31971954, 32266968, 32430478, 33307260, 33999474, 34146741, 34692834, 34830018, 35353932, 35726575, 35820276, 36461799, 36549466, 36549578, 36651605, 37132595, 37408182, 37852938, 37931511, 37944618"
ENSG00000104833	10382	TUBB4A	-30	NotFound	0.37894422	NotFound	NotFound	yes	OpenTargets	1	207	28171541	"3782288, 6462917, 6865944, 7790358, 8432555, 8619814, 8653701, 10211825, 10908577, 11076968, 11120798, 12221128, 12475942, 12477932, 12486001, 12840015, 12852856, 14702039, 15121898, 15188402, 15324660, 15331610, 15489334, 15691386, 15698476, 16303743, 16344560, 16462731, 16526095, 16565220, 16944923, 17360745, 17620599, 17627938, 18022941, 18029348, 18553364, 18613978, 19167051, 19299461, 19773279, 20171186, 20195357, 20301682, 20473970, 21145461, 21151833, 21525035, 21630459, 21839816, 21873635, 21956287, 22174317, 22266860, 22268729, 22586326, 22863883, 23142642, 23190606, 23246001, 23349634, 23424103, 23443559, 23463506, 23503679, 23533145, 23582646, 23595291, 23703321, 23826228, 23912453, 23956138, 24275654, 24337577, 24501781, 24598712, 24706558, 24785942, 24850488, 25036637, 25085639, 25545912, 25640309, 25772097, 25798074, 25852190, 25864199, 25944111, 25963833, 26186194, 26318963, 26344197, 26375501, 26460568, 26485645, 26496610, 26549023, 26638075, 26643067, 26673895, 26687479, 26972000, 27025967, 27129302, 27188707, 27342126, 27503909, 27545878, 27591049, 27609421, 27809427, 28302793, 28330616, 28378594, 28514442, 28648944, 28655586, 28718761, 28973395, 29117863, 29127012, 29229926, 29298171, 29331416, 29410696, 29491746, 29507755, 29549242, 29563501, 29845934, 29955894, 30079973, 30097533, 30110629, 30166453, 30258100, 30349055, 30455355, 30575818, 30619335, 30619736, 30809309, 30833792, 30865227, 31046837, 31091453, 31353912, 31405213, 31491891, 31501420, 31586073, 31594818, 31620119, 31980649, 32129710, 32140098, 32203420, 32552912, 32573057, 32687490, 32720309, 32786267, 32807901, 32943487, 32994395, 33022573, 33306668, 33567341, 33658012, 33863777, 33957083, 33961781, 34171383, 34428256, 34514881, 34581821, 34650049, 34687317, 34709727, 34997144, 35012549, 35032548, 35256949, 35271311, 35275727, 35384245, 35446349, 35509820, 35545034, 35589707, 35676246, 35676659, 35871212, 35914814, 35944360, 36030824, 36055981, 36114006, 36199071, 36215168, 36373674, 36398858, 36912080, 36964488, 36972930, 37529938, 38172120"
ENSG00000085514	29992	PILRA	40	NotFound	NotFound	NotFound	twas	yes	OpenTargets	2	34	"34206597, 34767070"	"10660620, 10903717, 12477932, 12690205, 15085135, 15489334, 18097101, 18358807, 19244335, 19457990, 20458337, 21241660, 21873635, 21988832, 22396535, 22695228, 23302878, 24253495, 24843130, 24889612, 26186194, 27029068, 28514442, 29046357, 29181857, 29202958, 30388101, 31297637, 32296183, 32513696, 33961781, 34602489, 35617401, 35918447"
ENSG00000176681	9884	LRRC37A	-31	NotFound	NotFound	NotFound	twas	yes	OpenTargets	4	11	"19915575, 22451204, 31701892, 34064523"	"9628581, 12477932, 14702039, 15489334, 15533724, 16344560, 22419166, 22952603, 23064749, 29507755, 34373451"
ENSG00000164124	55314	TMEM144	21	0.912360234	-0.829660308	NotFound	NotFound	no	-	0	8	-	"12477932, 14702039, 17207965, 21527035, 28298427, 28611215, 32296183, 32393512"
ENSG00000224086		PPM1F-AS1	-24	-0.54375073	NotFound	NotFound	NotFound	no	-	0	0	-	
ENSG00000280160			-20	0.453146712	NotFound	NotFound	NotFound	no	-	0	0	-	
ENSG00000147996	220869	ZNG1E	21	NotFound	-0.74093628	NotFound	NotFound	no	-	0	19	-	"8889548, 8889549, 10409428, 10737800, 10867487, 12421752, 12477932, 14702039, 16169070, 16344560, 21873635, 28986522, 31980649, 32296183, 34373451, 35584702, 36215168, 36538041, 37931956"
ENSG00000260947			-20	0.403453018	NotFound	NotFound	NotFound	no	-	0	0	-	
ENSG00000122584	30010	NXPH1	-24	NotFound	-0.739652765	NotFound	NotFound	no	-	0	32	-	"8699246, 9570794, 9856994, 12141453, 12477932, 12690205, 12853948, 12880961, 14702039, 15489334, 17207965, 18464913, 18762592, 20080650, 20100581, 20379614, 20732627, 20877300, 21628410, 21734401, 21873635, 22890011, 22930747, 23251661, 23544013, 24041540, 26410934, 27160456, 27817196, 28134766, 32533463, 33961781"
ENSG00000167077	150365	MEI1	24	NotFound	NotFound	NotFound	twas	no	-	0	13	-	"12477932, 14668445, 14702039, 16503656, 16683055, 20379614, 21873635, 24710101, 29659827, 32513696, 33961781, 34037756, 36759719"
ENSG00000127804	79066	METTL16	21	NotFound	0.409402636	NotFound	NotFound	no	-	0	66	-	"7698749, 12477932, 14702039, 16344560, 17643375, 18021804, 20602751, 21832049, 21873635, 22658674, 22681889, 22939629, 25921289, 26186194, 26344197, 26472760, 27872311, 28514442, 28525753, 29051200, 29262316, 29507755, 29593291, 29802200, 29845934, 30197297, 30197299, 30631154, 31073040, 31586073, 31665743, 31940410, 32266935, 32416067, 32694731, 33001583, 33022573, 33060197, 33428944, 33671635, 33845483, 33961781, 34075693, 34102905, 34110327, 34227247, 34373451, 34634806, 35145225, 35271311, 35596159, 36138131, 36215168, 36434904, 36474378, 36584291, 36608679, 36724073, 36840945, 37340443, 37423176, 37567786, 37673880, 37817227, 37827155, 37927399"
ENSG00000168743	255743	NPNT	-33	NotFound	-1.164945273	NotFound	NotFound	no	-	0	30	-	"8889548, 11470814, 11470831, 12477932, 12975309, 15754038, 19199708, 19844573, 20010835, 20332099, 22172726, 23284291, 23689482, 25037231, 27782206, 28476557, 28625976, 28675934, 29509190, 31130697, 31353912, 32457219, 32935851, 33961781, 34049960, 34716242, 35246978, 35304239, 36292572, 36870548"
ENSG00000162551	249	ALPL	-23	-0.574817124	NotFound	NotFound	NotFound	yes	OpenTargets	1	297	37165152	"1321014, 1409720, 1458595, 2220817, 2346496, 2928120, 3165380, 3174660, 3410475, 3446011, 3532105, 3954357, 6933471, 7509208, 7833929, 7876424, 8406453, 8954059, 9020858, 9192863, 9747027, 9781036, 9814472, 9823315, 9844100, 10094560, 10332035, 10508980, 10679946, 10690885, 10737975, 10834525, 10865224, 11073119, 11395499, 11438998, 11479741, 11528114, 11745997, 11760847, 11810413, 11834095, 11855933, 11999978, 12162492, 12357339, 12372831, 12397600, 12412800, 12477932, 12638946, 12788869, 12815606, 12920074, 14517339, 14702039, 14756545, 15135428, 15146197, 15230135, 15248185, 15476587, 15489334, 15562030, 15629439, 15660230, 15694177, 15824850, 16014383, 16210410, 16344560, 16583221, 16602701, 16681433, 16893177, 16932897, 17023519, 17043047, 17195227, 17229666, 17242729, 17253930, 17395561, 17516619, 17563703, 17719863, 17922851, 18029348, 18037100, 18158785, 18160010, 18328985, 18422967, 18455459, 18469019, 18496130, 18500657, 18523927, 18572267, 18579124, 18605934, 18665784, 18724009, 18769922, 18940312, 19012630, 19056867, 19084045, 19303062, 19335222, 19419944, 19423565, 19453261, 19500388, 19631305, 19641839, 19729429, 19744961, 19751416, 19751417, 19856264, 19860546, 19874193, 19884277, 19888898, 19931660, 20048161, 20139978, 20175736, 20231843, 20301329, 20345388, 20355242, 20379614, 20558539, 20634292, 20809279, 20828673, 20888271, 20924064, 20977932, 21168482, 21179104, 21191615, 21289095, 21402707, 21419245, 21558934, 21713451, 21873635, 21886157, 21956185, 22001757, 22024719, 22154904, 22167380, 22211102, 22228761, 22268729, 22300680, 22395920, 22569225, 22656046, 22672431, 22702738, 22703652, 22994584, 23039266, 23124780, 23149655, 23183786, 23223140, 23328739, 23376485, 23419404, 23427088, 23432910, 23509830, 23533145, 23612078, 23648065, 23791648, 23897810, 24022022, 24094242, 24151614, 24276437, 24441913, 24533943, 24569605, 24804200, 24816252, 24909115, 24929891, 25025693, 25033287, 25147783, 25241253, 25246707, 25336462, 25342482, 25504209, 25536665, 25603770, 25636587, 25769592, 25775211, 25853240, 26167880, 26210919, 26219720, 26389140, 26645431, 26783040, 26797772, 26975660, 27323113, 27467278, 27680481, 27922893, 27965423, 28000043, 28005267, 28006818, 28122543, 28127875, 28209522, 28319085, 28401263, 28506345, 28514442, 28570402, 28592560, 28664247, 29236161, 29489416, 29659871, 29724887, 29786747, 29846771, 30719581, 30737378, 30833792, 30888211, 30979497, 30995879, 31146036, 31366234, 31378661, 31399639, 31600233, 31707452, 31734146, 31753913, 31754202, 31760938, 31793067, 31857675, 31871319, 31969558, 32066479, 32141789, 32160374, 32163666, 32360152, 32677907, 32772198, 32779619, 32788631, 33191482, 33229138, 33302551, 33477631, 33549410, 33814268, 33821301, 33947818, 33961781, 34077593, 34213743, 34439771, 34448000, 34711245, 34935951, 35320273, 35471716, 35498405, 35676659, 35914814, 36444396, 36571714, 36792831, 37192015, 37277451, 37351650, 37794779, 38234425"
ENSG00000138050	80745	THUMPD2	22	0.275142234	NotFound	NotFound	NotFound	no	-	0	16	-	"8125298, 12063391, 12477932, 14702039, 15489334, 18957941, 21873635, 22939629, 26465331, 28514442, 30021884, 31536960, 32814053, 33961781, 34948388, 35831314"
ENSG00000141668	147381	CBLN2	-21	NotFound	-1.2498725	NotFound	NotFound	no	-	0	13	-	"7877445, 12477932, 12975309, 14702039, 15489334, 17030622, 19010793, 21873635, 22117778, 22569225, 23502781, 30539924, 34599306"
ENSG00000095397	25861	WHRN	24	0.628602819	0.413309978	NotFound	NotFound	yes	OpenTargets	1	41	34680087	"10819331, 11973626, 12421765, 12477932, 12641734, 12833159, 14702039, 15590698, 16344560, 16434480, 17171570, 17584769, 19308021, 19724906, 20301515, 20301607, 20352026, 20414141, 20583170, 21254220, 21738389, 21873635, 22147658, 23023331, 23251661, 23441107, 24022220, 24618850, 25406310, 25798074, 27173435, 28137943, 29270100, 30726710, 30831381, 31638198, 32296183, 33539879, 33626355, 37704626, 37924449"
ENSG00000162616	11080	DNAJB4	23	NotFound	0.510168608	NotFound	NotFound	no	-	0	89	-	"8889548, 9546042, 11147971, 11371506, 12477932, 15146197, 15234975, 15489334, 15592455, 15661747, 15782117, 16009940, 16344560, 16542645, 16788156, 17510411, 18029348, 18794131, 20145123, 20360068, 20494979, 20615403, 21231916, 21255413, 21345358, 21873635, 21988832, 22145905, 22529897, 22658674, 22863883, 22939629, 23306212, 23376485, 23824909, 23898208, 24293545, 24318877, 24337577, 24696714, 25036637, 25515538, 26186194, 26344197, 26496610, 26549023, 27065329, 27173435, 27483141, 28481734, 28514442, 28515276, 28755400, 28846114, 29117863, 29490077, 29507755, 29509190, 29531219, 29722524, 30561431, 31091453, 31221721, 32296183, 32416067, 32687490, 32814053, 32838362, 32850835, 33060197, 33239621, 33545068, 33957083, 33961781, 35007762, 35013218, 35148989, 35256949, 35271311, 35384245, 35446349, 35676246, 35696571, 35831314, 35945219, 36082445, 36264506, 36339263, 37510314"
ENSG00000153714	286343	LURAP1L	35	0.46894001	NotFound	NotFound	NotFound	no	-	0	17	-	"12477932, 12766061, 14702039, 15164053, 15221005, 15489334, 16341674, 21832049, 21873635, 25107909, 26186194, 27812135, 28514442, 32296183, 32814053, 33961781, 35156780"
ENSG00000138311	22891	ZNF365	21	NotFound	-1.072897179	NotFound	NotFound	no	-	0	55	-	"10048485, 11309680, 12477932, 12740763, 15164054, 15363853, 15489334, 16385451, 16617106, 16682949, 17043677, 17389905, 17554300, 18587394, 19191256, 19760754, 20222910, 20379614, 20453838, 21072187, 21102463, 21244100, 21257989, 21278746, 21832049, 21873635, 21908515, 22327514, 22351618, 22412388, 22449649, 22747683, 22936669, 23042114, 23535729, 23535733, 23593153, 23776040, 23966166, 24204295, 25060549, 25108386, 25342443, 25489960, 25534755, 25705664, 26287344, 27333658, 29042450, 30021884, 32812023, 33961781, 35914814, 36139424, 38094285"
ENSG00000138650	57575	PCDH10	-22	NotFound	-0.846489073	NotFound	NotFound	no	-	0	72	-	"8012384, 10380929, 10716726, 10718198, 10817752, 10835267, 11230163, 11549318, 12477932, 16247458, 16344560, 18621663, 18644894, 19084528, 19262141, 19681120, 19709077, 20353276, 20379614, 21237250, 21314642, 21597995, 21873635, 21960365, 22206871, 22245948, 22543497, 23171734, 23180019, 23260144, 23321168, 23321465, 23569128, 23839493, 23929756, 24309322, 24406169, 24722188, 24740680, 25085246, 25086586, 25260683, 25590240, 26081897, 26276761, 26406945, 26679037, 26871474, 26881880, 26927373, 26970279, 27338109, 27609421, 27659532, 28498423, 28514442, 29202805, 29676528, 30213786, 31088413, 31210316, 31651684, 31871319, 32535594, 33271263, 33306668, 33527791, 33961781, 35844135, 36538983, 37058252, 37147733"
ENSG00000043143	23338	JADE2	29	NotFound	0.387960586	NotFound	NotFound	yes	OpenTargets	1	33	31701892	"9039502, 12477932, 12693554, 14612400, 14702039, 15489334, 16387653, 16916647, 19056867, 20211142, 20936779, 21102462, 21516116, 21873635, 23281010, 23508102, 24981860, 25231870, 25416956, 26186194, 26496610, 27270040, 27503909, 28514442, 28611215, 29507755, 30480076, 30833792, 32296183, 32393512, 33961781, 35850772, 35914814"
ENSG00000146151	54511	HMGCLL1	-20	NotFound	-1.113150438	NotFound	NotFound	no	-	0	15	-	"8440722, 8619474, 9110174, 12477932, 14702039, 16344560, 17207965, 20379614, 21873635, 22847177, 22865860, 23251661, 28514442, 31536960, 33961781"
ENSG00000020577	23034	SAMD4A	33	NotFound	0.385021492	NotFound	NotFound	no	-	0	37	-	"10470851, 12477932, 15324660, 15778465, 16221671, 16344560, 17353931, 19913121, 20379614, 20628086, 21873635, 22201125, 22658674, 23251661, 24023788, 24255178, 25416956, 26673895, 26760575, 28514442, 29117863, 29395067, 30804502, 30833792, 31586073, 32292524, 32296183, 33961781, 34079125, 34080649, 34219323, 36215168, 36543142, 36931259, 37515967, 37523566, 37689310"
ENSG00000136059	50853	VILL	-26	-0.612821698	NotFound	NotFound	NotFound	no	-	0	12	-	"9179494, 12477932, 15489334, 16921170, 18006815, 18022635, 21873635, 26871637, 28514442, 30021884, 33961781, 36543142"
ENSG00000185294	162540	SPPL2C	23	NotFound	NotFound	NotFound	twas	yes	OpenTargets	7	16	"31701892, 34064523, 31660654, 35509074, 35283272, 26063326, 33637690"	"12139484, 12477932, 15293277, 15385547, 16415175, 16829952, 17965014, 21738487, 21873635, 22693459, 24429156, 30733280, 30733281, 31586073, 32296183, 33637690"
ENSG00000110090	1374	CPT1A	22	-0.214735365	NotFound	NotFound	NotFound	yes	OpenTargets	2	201	"32973137, 32599769"	"7892212, 9070836, 9070950, 9691089, 10408760, 11001805, 11095714, 11257506, 11350182, 11441142, 12111367, 12189492, 12464674, 12477932, 14517221, 14711372, 15489334, 15647998, 15669684, 15846373, 16054041, 16246309, 16271724, 16344560, 16697732, 16806233, 17089095, 17445541, 17452323, 18029348, 18253084, 18385088, 18996102, 19181627, 19217814, 19460752, 19913121, 19946888, 20124555, 20301700, 20562859, 20602615, 20628086, 20638986, 20691246, 20696606, 20843525, 20877624, 20937660, 21348853, 21484929, 21492153, 21726808, 21763168, 21873635, 21962599, 21988832, 21990363, 22045927, 22268729, 22278432, 22286219, 22533991, 22658674, 22810586, 22871568, 22939629, 23090344, 23251661, 23464991, 23503661, 23503679, 23752268, 23842279, 23992672, 24037959, 24118240, 24457600, 24618825, 24639526, 24711635, 24920721, 25183267, 25476789, 25501281, 25921289, 26041663, 26110892, 26217791, 26276667, 26496610, 26716645, 26799588, 26808626, 26820065, 26972000, 27195673, 27342126, 27499296, 27502741, 27667153, 27916548, 28125087, 28139377, 28190767, 28330968, 28392417, 28514442, 28515276, 28526869, 28611031, 28611215, 28671672, 28675297, 29107296, 29117863, 29128334, 29507755, 29509794, 29596410, 29721083, 29795111, 29930162, 29940537, 29995871, 30092766, 30107520, 30196744, 30394687, 30575818, 30804502, 30823689, 30945396, 31073040, 31151054, 31485672, 31536960, 31547059, 31586073, 31705849, 31723608, 31871319, 31900237, 31900483, 31980649, 32041737, 32088118, 32198139, 32457219, 32561900, 32572027, 32807901, 32859246, 32916992, 32930325, 33144569, 33378033, 33545068, 33567341, 33687587, 33845545, 33853758, 33961781, 34045663, 34331935, 34836312, 34963686, 34976224, 35007762, 35028612, 35130611, 35273614, 35338135, 35439318, 35509820, 35676659, 35696571, 35777956, 35819319, 35850772, 35918402, 35944360, 36035217, 36168628, 36180554, 36215168, 36217030, 36233047, 36396930, 36427397, 36513703, 36702079, 36735704, 36800272, 37120454, 37249337, 37291333, 37722058, 37774976, 37827155, 37891690"
ENSG00000130702	3911	LAMA5	24	-0.464971147	NotFound	NotFound	NotFound	no	-	0	159	-	"7499364, 9006922, 9245798, 9271224, 9353324, 9597096, 9628581, 10207021, 10617638, 10620696, 10671376, 10964500, 10964957, 11104726, 11133776, 11159210, 11311202, 11352943, 11572484, 11780052, 11821406, 11891225, 11964076, 11985661, 12242717, 12244066, 12366691, 12379663, 12382139, 12393739, 12477932, 12682087, 12691260, 12743034, 12817023, 14557481, 14691145, 15231748, 15302884, 15579904, 15774758, 15967115, 15975931, 16169070, 16226104, 16236823, 16289162, 16339173, 16460839, 16581764, 16723698, 16940506, 17888902, 18496706, 18523231, 18635166, 18654987, 18694491, 19056867, 19199708, 19615022, 19752234, 19913121, 20019771, 20433883, 20551380, 20628086, 20819124, 20951195, 20972440, 21067603, 21195710, 21461966, 21630459, 21653829, 21858073, 21873635, 21921666, 22099024, 22199357, 22268729, 22666383, 22898364, 23022198, 23264881, 23376485, 23533145, 23535732, 23658023, 23715200, 24036115, 24503541, 24737748, 24742657, 25037231, 25241761, 26186194, 26235893, 26344197, 26496610, 26618866, 26968355, 27068509, 27143691, 27559042, 27614294, 28077445, 28190767, 28412362, 28514442, 28544784, 28618934, 28675934, 28735299, 28926760, 29117863, 29198708, 29344581, 29377152, 29509190, 29534211, 29764427, 29906214, 29908552, 30021884, 30200802, 30389143, 30522103, 30589377, 30808327, 31343575, 31343991, 31353912, 31527615, 31530475, 31978696, 32017712, 32281736, 32334043, 32409323, 32513696, 33242826, 33536335, 33545068, 33961781, 34578187, 35008625, 35253629, 35419533, 35563538, 35696571, 35748872, 35850772, 35944360, 35993299, 36173685, 36215168, 36517590, 38245532"
